id,fullName,team,position,status
6341,Justin Verlander,SF,SP,Active
28617,Drew Anderson,MIL,UN,Active
28701,Andrew McCutchen,PIT,RF,Active
28968,Carlos Carrasco,NYY,SP,Active
29155,Charlie Morton,BAL,SP,Active
29607,Justin Turner,CHC,1B,Active
29630,Kenley Jansen,LAA,RP,Active
29703,Donovan Solano,SEA,1B,Active
29951,Travis d'Arnaud,LAA,C,Active
30193,Freddie Freeman,LAD,1B,Active
30280,Carlos Santana,CLE,1B,Active
30289,Martin Maldonado,SD,C,Active
30382,Jose Iglesias,SD,2B,Active
30442,Aroldis Chapman,BOS,RP,Active
30545,Kyle Higashioka,TEX,C,Active
30627,Wilmer Flores,SF,1B,Active
30738,Shelby Miller,ARI,RP,Active
30791,Miguel Rojas,LAD,SS,Active
30830,Starling Marte,NYM,RF,Active
30836,Mike Trout,LAA,RF,Active
30948,Chris Sale,ATL,SP,Active
30951,Bryce Harper,PHI,1B,Active
31010,Drew Pomeranz,CHC,SP,Active
31026,Justin Wilson,BOS,RP,Active
31027,Paul Goldschmidt,NYY,1B,Active
31097,Manny Machado,SD,3B,Active
31127,Salvador Perez,KC,C,Active
31174,Nathan Eovaldi,TEX,SP,Active
31187,Nick Castellanos,PHI,RF,Active
31208,Tommy Pham,PIT,LF,Active
31258,Jameson Taillon,CHC,SP,Active
31261,Nolan Arenado,STL,3B,Active
31264,Tyler Matzek,NYY,RP,Active
31267,Zack Wheeler,PHI,SP,Active
31283,Christian Yelich,MIL,LF,Active
31313,Patrick Corbin,TEX,SP,Active
31358,Enrique Hernandez,LAD,1B,Active
31389,Christian Vazquez,MIN,C,Active
31392,Joc Pederson,TEX,DH,Active
31399,Randal Grichuk,ARI,RF,Active
31606,Xander Bogaerts,SD,SS,Active
31662,Jose Altuve,HOU,LF,Active
31668,Marcell Ozuna,ATL,DH,Active
31670,Mark Canha,KC,1B,Active
31749,Luke Jackson,TEX,RP,Active
31755,Liam Hendriks,BOS,RP,Active
31864,Taijuan Walker,PHI,SP,Active
31867,Tommy Kahnle,DET,RP,Active
31870,Max Kepler,PHI,LF,Active
31944,Eddie Rosario,ATL,OF,Active
32078,George Springer,TOR,RF,Active
32082,Sonny Gray,STL,SP,Active
32106,Jose Quintana,MIL,SP,Active
32107,Ryan Tepera,STL,RP,Active
32116,Miles Mikolas,STL,SP,Active
32127,Javier Baez,DET,3B,Active
32129,Francisco Lindor,NYM,SS,Active
32145,Jason Adam,SD,RP,Active
32146,Marcus Semien,TEX,2B,Active
32150,Trevor Story,BOS,SS,Active
32151,Tyler Anderson,LAA,SP,Active
32156,Scott Barlow,CIN,RP,Active
32159,Brandon Nimmo,NYM,LF,Active
32168,Austin Hedges,CLE,C,Active
32175,Robbie Ray,SF,SP,Active
32177,J.T. Realmuto,PHI,C,Active
32219,Michael A. Taylor,CHW,LF,Active
32273,Jon Berti,CHC,2B,Active
32355,Nick Ahmed,TEX,SS,Active
32367,Eugenio Suarez,ARI,3B,Active
32440,Caleb Thielbar,CHC,RP,Active
32517,Josh Bell,WSH,1B,Active
32525,Jorge Polanco,SEA,3B,Active
32530,Orlando Arcia,ATL,SS,Active
32531,Jeimer Candelario,CIN,3B,Active
32532,Willson Contreras,STL,1B,Active
32558,Jorge Soler,LAA,RF,Active
32623,Kirby Yates,LAD,RP,Active
32631,Rafael Montero,ATL,RP,Active
32640,Michael Wacha,KC,SP,Active
32653,Carlos Correa,MIN,SS,Active
32655,Byron Buxton,MIN,CF,Active
32667,Kevin Gausman,TOR,SP,Active
32672,Andrew Heaney,PIT,SP,Active
32675,Eduardo Rodriguez,ARI,SP,Active
32680,T.J. McFarland,ATH,RP,Active
32684,Joe Ross,PHI,RP,Active
32685,Max Fried,NYY,SP,Active
32721,Gio Urshela,ATH,3B,Active
32751,Travis Jankowski,TB,RF,Active
32758,Christian Walker,HOU,1B,Active
32760,Josh Hader,HOU,RP,Active
32767,Matt Olson,ATL,1B,Active
32777,Pierce Johnson,ATL,RP,Active
32783,Tyrone Taylor,NYM,CF,Active
32787,Chris Stratton,KC,RP,Active
32796,Jacob deGrom,TEX,SP,Active
32797,Carson Kelly,CHC,C,Active
32801,Jose Ramirez,CLE,3B,Active
32807,Lucas Sims,WSH,RP,Active
32811,Jose Berrios,TOR,SP,Active
32827,Clay Holmes,NYM,SP,Active
32833,Jesse Winker,NYM,LF,Active
32856,Austin Barnes,LAD,C,Active
32859,Kevin Pillar,TEX,CF,Active
32888,Yimi Garcia,TOR,RP,Active
32900,Chris Taylor,LAD,LF,Active
32903,Chris Martin,TEX,RP,Active
32968,Merrill Kelly,ARI,SP,Active
33039,Mookie Betts,LAD,SS,Active
33072,Ryan Pressly,CHC,RP,Active
33089,Luis Garcia,LAD,RP,Active
33106,Steven Matz,STL,RP,Active
33107,Jose Urena,NYM,RP,Active
33123,Scott Alexander,COL,RP,Active
33142,Tyler Heineman,TOR,C,Active
33148,Chris Bassitt,TOR,SP,Active
33173,Kyle Hendricks,LAA,SP,Active
33184,Tim Anderson,LAA,SS,Active
33192,Aaron Judge,NYY,RF,Active
33194,Ben Lively,CLE,SP,Active
33205,Hunter Renfroe,KC,RF,Active
33210,J.P. Crawford,SEA,SS,Active
33215,Amed Rosario,WSH,3B,Active
33224,Devin Williams,NYY,RP,Active
33229,Victor Caratini,HOU,C,Active
33247,Ryan McMahon,COL,3B,Active
33252,Michael Lorenzen,KC,SP,Active
33263,Luis Severino,ATH,SP,Active
33287,Kyle Farmer,COL,2B,Active
33301,Ryne Stanek,NYM,RP,Active
33303,Max Muncy,LAD,3B,Active
33305,Trevor Williams,WSH,SP,Active
33325,Chad Green,TOR,RP,Active
33341,Mike Yastrzemski,SF,RF,Active
33372,Nick Martinez,CIN,SP,Active
33377,Teoscar Hernandez,LAD,RF,Active
33403,Emilio Pagan,CIN,RP,Active
33411,Rob Refsnyder,BOS,RF,Active
33452,Eric Haase,MIL,C,Active
33481,Yandy Diaz,TB,1B,Active
33499,Shawn Armstrong,TEX,RP,Active
33546,Adam Frazier,PIT,2B,Active
33557,Sean Murphy,ATL,C,Active
33572,Isiah Kiner-Falefa,PIT,SS,Active
33594,Elias Diaz,SD,C,Active
33618,Raisel Iglesias,ATL,RP,Active
33638,Danny Coulombe,MIN,RP,Active
33667,Mitch Garver,SEA,C,Active
33671,Taylor Rogers,CIN,RP,Active
33675,Willy Adames,SF,SS,Active
33685,Matt Bowman,BAL,RP,Active
33696,Carlos Rodon,NYY,SP,Active
33709,Aaron Nola,PHI,SP,Active
33710,Trea Turner,PHI,SS,Active
33711,Michael Conforto,LAD,LF,Active
33712,Kyle Schwarber,PHI,LF,Active
33716,Steven Okert,HOU,RP,Active
33722,Mitch Keller,PIT,SP,Active
33735,Ryan Yarbrough,NYY,RP,Active
33743,Miguel Andujar,ATH,LF,Active
33750,Antonio Senzatela,COL,SP,Active
33770,Luke Weaver,NYY,RP,Active
33783,Ozzie Albies,ATL,2B,Active
33786,Alex Verdugo,ATL,LF,Active
33793,Erick Fedde,STL,SP,Active
33796,J.D. Davis,LAA,3B,Active
33804,Gleyber Torres,DET,2B,Active
33805,Luis Torrens,NYM,C,Active
33809,Edmundo Sosa,PHI,SS,Active
33816,Scott Blewett,ATL,RP,Active
33832,Jorge Mateo,BAL,SS,Active
33833,Jorge Lopez,WSH,RP,Active
33837,Jack Flaherty,DET,SP,Active
33839,Kyle Freeland,COL,SP,Active
33840,Grant Holmes,ATL,SP,Active
33841,Jeff Hoffman,TOR,RP,Active
33842,Jonah Heim,TEX,C,Active
33856,Sean Newcomb,BOS,SP,Active
33857,Matt Chapman,SF,3B,Active
33859,Rafael Devers,BOS,3B,Active
33878,Tyler Wade,SD,CF,Active
33900,Jeff McNeil,NYM,2B,Active
33912,Cody Bellinger,NYY,CF,Active
33950,Colin Rea,CHC,RP,Active
34026,Tyler Rogers,SF,RP,Active
34068,Fernando Cruz,NYY,RP,Active
34089,Jacob Stallings,COL,C,Active
34166,Tyler Kinley,COL,RP,Active
34287,Rowdy Tellez,SEA,1B,Active
34401,Matthew Boyd,CHC,SP,Active
34542,Anthony Banda,LAD,RP,Active
34834,Scott McGough,ARI,RP,Active
34861,Carlos Estevez,KC,RP,Active
34862,Matt Strahm,PHI,RP,Active
34873,Seth Lugo,KC,SP,Active
34874,German Marquez,COL,SP,Active
34886,Alex Bregman,BOS,3B,Active
34892,Kenta Maeda,DET,RP,Active
34895,Dansby Swanson,CHC,SS,Active
34923,Taylor Ward,LAA,LF,Active
34940,Ryan Mountcastle,BAL,1B,Active
34943,Dylan Cease,SD,SP,Active
34945,Ian Happ,CHC,LF,Active
34947,Andy Ibanez,DET,3B,Active
34950,Dillon Tate,TOR,RP,Active
34951,Leody Taveras,TEX,CF,Active
34964,Daz Cameron,MIL,LF,Active
34967,Kyle Tucker,CHC,RF,Active
34973,Tyler Mahle,TEX,SP,Active
34980,Kolby Allard,CLE,SP,Active
34982,Austin Riley,ATL,3B,Active
34986,Andrew Benintendi,CHW,LF,Active
34995,Trent Grisham,NYY,CF,Active
35002,Vladimir Guerrero Jr.,TOR,1B,Active
35004,Danny Jansen,TB,C,Active
35009,Paul Sewald,CLE,RP,Active
35013,Jake Bauers,MIL,1B,Active
35020,Ke'Bryan Hayes,PIT,3B,Active
35022,Kevin Newman,LAA,SS,Active
35026,Enyel De Los Santos,ATL,RP,Active
35058,Jose Azocar,NYM,LF,Active
35062,Harrison Bader,MIN,LF,Active
35066,Josh Naylor,ARI,1B,Active
35073,Brendan Rodgers,HOU,2B,Active
35124,Luis Castillo,SEA,SP,Active
35135,Tanner Scott,LAD,RP,Active
35142,Ramon Laureano,BAL,LF,Active
35183,Ryan O'Hearn,BAL,1B,Active
35241,Sandy Alcantara,MIA,SP,Active
35268,Jose Trevino,CIN,C,Active
35291,Rhys Hoskins,MIL,1B,Active
35292,Brad Keller,CHC,RP,Active
35304,Mauricio Dubon,HOU,2B,Active
35314,Austin Wynns,CIN,C,Active
35383,Luis Urias,ATH,3B,Active
35394,Edwin Diaz,NYM,RP,Active
35397,Jeffrey Springs,ATH,SP,Active
35439,Pablo Reyes,NYY,3B,Active
35440,Connor Joe,SD,1B,Active
35536,Yennier Cano,BAL,RP,Active
35537,Adolis Garcia,TEX,RF,Active
35578,Cedric Mullins,BAL,CF,Active
35591,Ty France,MIN,1B,Active
35675,Yohel Pozo,STL,C,Active
35676,Seth Brown,ATH,LF,Active
35682,Nathan Lukes,TOR,CF,Active
35844,Lou Trivino,SF,RP,Active
35876,Brennan Bernardino,BOS,RP,Active
35983,Fernando Tatis Jr.,SD,RF,Active
35997,Brock Stewart,MIN,RP,Active
35999,Chris Paddack,MIN,SP,Active
36006,Yuli Gurriel,SD,1B,Active
36018,Yordan Alvarez,HOU,LF,Active
36020,TJ Friedl,CIN,CF,Active
36023,Brent Suter,CIN,RP,Active
36036,Wandy Peralta,SD,RP,Active
36040,Lourdes Gurriel Jr.,ARI,LF,Active
36052,Zack Littell,TB,SP,Active
36053,Jose Ruiz,PHI,RP,Active
36056,Jakob Junis,CLE,RP,Active
36063,Jose Alvarado,PHI,RP,Active
36068,Tomas Nido,DET,C,Active
36071,Nick Pivetta,SD,SP,Active
36080,Dane Dunning,TEX,SP,Active
36084,Anthony Santander,TOR,RF,Active
36088,Hoby Milner,TEX,RP,Active
36089,Cionel Perez,BAL,RP,Active
36093,Jimmy Herget,COL,RP,Active
36131,Aaron Bummer,ATL,RP,Active
36161,Phil Maton,STL,RP,Active
36176,Matt Thaiss,CHW,C,Active
36181,Mickey Moniak,COL,CF,Active
36192,Ryan Borucki,PIT,RP,Active
36202,Mark Leiter Jr.,NYY,RP,Active
36380,Jordan Romano,PHI,RP,Active
36429,Garrett Cleavinger,TB,RP,Active
36462,Joshua Palacios,CHW,RF,Active
36488,Randy Arozarena,SEA,LF,Active
36497,Nick Martini,COL,RF,Active
36526,Reed Garrett,NYM,RP,Active
36543,Kyle Finnegan,WSH,RP,Active
36581,Framber Valdez,HOU,SP,Active
36618,Lucas Erceg,KC,RP,Active
36723,Jalen Beeks,ARI,RP,Active
36724,Keegan Akin,BAL,RP,Active
36728,Trent Thornton,SEA,RP,Active
36928,Austin Hays,CIN,LF,Active
36969,Juan Soto,NYM,RF,Active
37005,Tim Hill,NYY,RP,Active
37237,Luis Rengifo,LAA,3B,Active
37340,Nolan Jones,CLE,RF,Active
37498,Pete Alonso,NYM,1B,Active
37639,Cavan Biggio,KC,1B,Active
37729,Andres Gimenez,TOR,2B,Active
37793,Seranthony Dominguez,BAL,RP,Active
37798,LaMonte Wade Jr.,SF,1B,Active
37909,Jordan Hicks,SF,SP,Active
37911,Evan Phillips,LAD,RP,Active
37974,Jake Fraley,CIN,RF,Active
38106,Nicky Lopez,CHC,SS,Active
38295,Dean Kremer,BAL,SP,Active
38303,David Bednar,PIT,RP,Active
38309,Will Smith,LAD,C,Active
38420,Zach McKinstry,DET,RF,Active
38628,Ryan Thompson,ARI,RP,Active
38682,Weston Wilson,PHI,LF,Active
38796,Justin Topa,MIN,RP,Active
38827,Keibert Ruiz,WSH,C,Active
38904,Bo Bichette,TOR,SS,Active
38905,Miguel Amaya,CHC,C,Active
38980,Bryan Reynolds,PIT,RF,Active
38994,Alex Call,WSH,RF,Active
39105,Myles Straw,TOR,CF,Active
39226,Dylan Carlson,BAL,LF,Active
39251,Walker Buehler,BOS,SP,Active
39382,Bobby Dalbec,CHW,1B,Active
39400,Oscar Gonzalez,SD,LF,Active
39631,Luis Robert Jr.,CHW,CF,Active
39635,Hunter Greene,CIN,SP,Active
39636,MacKenzie Gore,WSH,SP,Active
39639,Shane Baz,TB,SP,Active
39642,Heliot Ramos,SF,LF,Active
39645,Brendon Little,TOR,RP,Active
39667,Jesus Luzardo,PHI,SP,Active
39671,Pablo Lopez,MIN,SP,Active
39674,Garrett Whitlock,BOS,RP,Active
39706,Isaac Paredes,HOU,3B,Active
39711,Tayler Scott,HOU,RP,Active
39712,Oneil Cruz,PIT,CF,Active
39716,Tobias Myers,MIL,SP,Active
39801,Dennis Santana,PIT,RP,Active
39804,Gregory Soto,BAL,RP,Active
39816,Julian Merryweather,CHC,RP,Active
39818,JP Sears,ATH,SP,Active
39822,Jesus Tinoco,MIA,RP,Active
39825,Freddy Peralta,MIL,SP,Active
39832,Shohei Ohtani,LAD,DH,Active
39875,Cal Quantrill,MIA,SP,Active
39878,Corbin Burnes,ARI,SP,Active
39882,Jake Burger,TEX,1B,Active
39895,William Contreras,MIL,C,Active
39899,Garrett Hampson,ARI,2B,Active
39907,Tommy Edman,LAD,2B,Active
39909,Ryan Helsley,STL,RP,Active
39910,Zac Gallen,ARI,SP,Active
39924,Santiago Espinal,CIN,2B,Active
39945,Brock Burke,LAA,RP,Active
39947,Mason McCoy,SD,SS,Active
39949,John Schreiber,KC,RP,Active
39957,Jesus Sanchez,MIA,CF,Active
39961,Brandon Lowe,TB,2B,Active
39963,Eli White,ATL,LF,Active
40021,Joel Payamps,MIL,RP,Active
40048,Dane Myers,MIA,CF,Active
40080,Trevor Megill,MIL,RP,Active
40327,Gabe Speier,SEA,RP,Active
40338,Nick Allen,ATL,SS,Active
40344,Gabriel Arias,CLE,2B,Active
40346,Stuart Fairchild,ATL,RF,Active
40360,Tyler Alexander,MIL,RP,Active
40364,Colin Poche,WSH,RP,Active
40384,Jacob Webb,TEX,RP,Active
40422,Luke Raley,SEA,RF,Active
40423,Gavin Lux,CIN,LF,Active
40429,Michael King,SD,SP,Active
40437,Tanner Banks,PHI,RP,Active
40456,JoJo Romero,STL,RP,Active
40459,Luis Garcia Jr.,WSH,2B,Active
40462,Vidal Brujan,CHC,SS,Active
40481,Tirso Ornelas,SD,LF,Active
40519,Emmanuel Rivera,BAL,3B,Active
40538,Nathaniel Lowe,WSH,1B,Active
40559,Tyler Gilbert,CHW,RP,Active
40572,Alan Trejo,COL,2B,Active
40574,Chas McCormick,HOU,CF,Active
40576,Taylor Walls,TB,SS,Active
40593,Dylan Moore,SEA,3B,Active
40610,Ramon Urias,BAL,3B,Active
40655,Riley Adams,WSH,C,Active
40700,Gavin Sheets,SD,LF,Active
40702,Jhonny Pereda,ATH,C,Active
40719,Jake Meyers,HOU,CF,Active
40767,Pavin Smith,ARI,1B,Active
40798,Sam Huff,SF,C,Active
40810,Jonathan Aranda,TB,1B,Active
40816,Rafael Marchan,PHI,C,Active
40835,Oswaldo Cabrera,NYY,3B,Active
40851,Jose Herrera,ARI,C,Active
40854,Jo Adell,LAA,CF,Active
40858,Leo Rivas,SEA,2B,Active
40869,Ben Rortvedt,TB,C,Active
40884,Bryan Baker,BAL,RP,Active
40900,Miles Mastrobuoni,SEA,3B,Active
40903,Danny Young,NYM,RP,Active
40916,Ian Anderson,ATL,RP,Active
40917,Adrian Morejon,SD,RP,Active
