game_id,date,team,opponent,passing_yards_allowed,rushing_yards_allowed,total_yards_allowed,third_down_eff,red_zone_attempts,turnovers_forced,first_downs_allowed,first_downs_passing_allowed,first_downs_rushing_allowed,fourth_down_eff,yards_per_play_allowed,completion_attempts_allowed,yards_per_pass_allowed,yards_per_rush_allowed,penalty_yards_allowed,possession_time_against
401671789,2024-09-06,KC,BAL,267,185,452,7-14,1-4,1,25,11,13,1-2,6.1,26/41,6.4,5.8,7-64,33:43
401671789,2024-09-06,BAL,KC,281,72,353,4-9,1-3,1,21,15,4,0-0,7.1,20/28,9.4,3.6,6-45,26:17
401671805,2024-09-07,PHI,GB,251,163,414,3-11,1-4,1,19,9,7,1-1,7.1,17/35,6.8,7.8,10-71,27:13
401671805,2024-09-07,GB,PHI,266,144,410,4-14,3-6,3,25,14,8,1-1,5.5,20/34,7.4,3.8,7-57,32:47
401671744,2024-09-08,ATL,PIT,133,137,270,8-17,0-2,0,16,6,9,0-1,4.1,17/23,5.3,3.3,9-60,35:36
401671744,2024-09-08,PIT,ATL,137,89,226,2-9,1-2,3,15,8,6,1-1,4.5,16/26,4.9,4.0,5-34,24:24
401671617,2024-09-08,BUF,ARI,146,124,270,7-13,2-4,1,18,10,7,0-1,4.5,21/31,4.2,5.0,5-31,29:30
401671617,2024-09-08,ARI,BUF,222,130,352,3-9,4-6,1,23,11,8,2-2,6.1,18/23,8.9,3.9,9-65,30:30
401671719,2024-09-08,CHI,TEN,104,140,244,3-14,1-2,3,16,6,9,1-2,4.0,19/32,3.0,5.4,8-50,34:54
401671719,2024-09-08,TEN,CHI,64,84,148,2-13,0-1,1,11,5,6,2-2,2.8,14/29,2.1,3.8,7-55,25:06
401671628,2024-09-08,CIN,NE,120,170,290,6-15,1-4,0,17,6,11,0-0,4.5,15/24,4.8,4.4,5-40,34:03
401671628,2024-09-08,NE,CIN,154,70,224,4-11,1-2,2,13,7,5,0-1,4.7,21/29,4.8,4.4,2-10,25:57
401671861,2024-09-08,IND,HOU,204,213,417,7-14,3-3,0,26,13,11,2-2,5.5,24/32,5.7,5.3,5-30,40:00
401671861,2024-09-08,HOU,IND,199,104,303,5-10,2-3,1,14,4,9,1-2,7.0,9/19,9.5,4.7,4-20,20:00
401671849,2024-09-08,MIA,JAX,139,128,267,2-10,2-3,1,17,8,7,0-1,5.3,12/21,5.8,4.9,8-71,26:50
401671849,2024-09-08,JAX,MIA,319,81,400,8-16,1-2,0,18,11,5,0-2,6.2,23/37,8.0,3.2,9-103,33:10
401671734,2024-09-08,NO,CAR,135,58,193,1-10,1-2,3,11,7,2,1-3,3.5,13/31,3.9,2.9,6-80,23:21
401671734,2024-09-08,CAR,NO,199,180,379,7-13,4-4,1,22,7,13,0-0,6.1,19/24,8.0,4.9,10-95,36:39
401671712,2024-09-08,NYG,MIN,201,111,312,3-10,2-2,2,17,8,7,1-1,6.1,19/24,8.0,4.3,7-63,27:34
401671712,2024-09-08,MIN,NYG,166,74,240,7-18,0-3,2,14,8,5,1-3,3.5,22/42,3.5,3.5,9-95,32:26
401671659,2024-09-08,LAC,LV,225,71,296,5-14,0-1,3,14,12,1,0-1,5.0,25/33,6.1,3.2,2-15,31:44
401671659,2024-09-08,LV,LAC,140,176,316,4-15,2-4,0,11,6,5,0-0,5.9,17/26,5.2,6.5,7-50,28:16
401671664,2024-09-08,SEA,DEN,132,99,231,5-18,1-4,3,13,6,7,1-1,3.3,26/42,3.0,4.0,8-60,31:14
401671664,2024-09-08,DEN,SEA,158,146,304,4-12,0-1,2,19,11,5,0-0,5.1,18/25,5.9,4.4,6-41,28:46
401671761,2024-09-08,CLE,DAL,163,102,265,4-14,1-1,0,15,8,7,0-0,4.4,19/32,4.7,4.1,11-85,29:06
401671761,2024-09-08,DAL,CLE,137,93,230,2-15,2-2,2,15,8,5,3-5,3.3,24/45,2.7,4.9,11-64,30:54
401671770,2024-09-08,TB,WSH,161,138,299,2-8,3-3,0,22,7,12,1-1,5.3,17/24,6.2,4.6,7-51,26:19
401671770,2024-09-08,WSH,TB,280,112,392,9-13,3-5,0,22,15,4,0-0,6.4,24/30,9.0,3.7,7-46,33:41
401671792,2024-09-09,DET,LAR,304,83,387,5-12,2-5,1,26,15,8,1-2,5.2,34/49,6.0,3.6,6-50,34:56
401671792,2024-09-09,LAR,DET,200,163,363,6-13,2-4,1,21,7,12,1-1,6.0,18/28,6.7,5.3,6-56,29:45
401671696,2024-09-10,SF,NYJ,198,68,266,6-10,2-2,2,14,11,3,0-1,5.4,19/29,6.6,3.6,3-10,21:20
401671696,2024-09-10,NYJ,SF,221,180,401,6-13,2-5,0,24,12,10,0-0,5.7,19/29,6.9,4.7,4-40,38:40
401671807,2024-09-13,MIA,BUF,139,108,247,3-9,2-2,0,13,5,7,1-1,5.5,13/19,7.3,4.2,1-5,23:41
401671807,2024-09-13,BUF,MIA,212,139,351,7-15,1-4,3,20,12,8,1-5,4.7,25/39,5.2,4.1,7-50,36:19
401671709,2024-09-15,DAL,NO,242,190,432,5-8,4-5,1,24,8,15,0-0,7.7,11/16,14.2,4.9,5-40,30:31
401671709,2024-09-15,NO,DAL,285,68,353,6-13,0-3,2,20,13,5,1-3,5.3,28/42,6.3,3.2,4-26,29:29
401671721,2024-09-15,DET,TB,146,70,216,2-10,1-2,1,14,9,3,0-0,4.6,12/19,6.1,3.0,4-35,26:07
401671721,2024-09-15,TB,DET,324,139,463,7-17,1-7,2,26,16,7,3-5,5.6,35/56,5.8,5.1,4-71,33:53
401671723,2024-09-15,GB,IND,198,140,338,2-9,1-2,3,19,10,8,1-2,6.4,17/34,5.7,7.8,3-20,19:49
401671723,2024-09-15,IND,GB,122,261,383,10-17,1-3,1,19,6,13,0-0,5.7,12/14,8.7,4.9,6-50,40:11
401671636,2024-09-15,TEN,NYJ,164,101,265,5-12,1-2,0,16,9,6,0-0,4.7,18/30,5.1,4.2,7-70,30:03
401671636,2024-09-15,NYJ,TEN,170,130,300,5-12,1-4,2,20,7,9,0-1,5.0,19/28,5.3,4.6,5-45,29:57
401671645,2024-09-15,MIN,SF,294,102,396,2-10,2-4,2,24,17,5,1-3,5.9,28/36,7.0,4.1,4-30,34:48
401671645,2024-09-15,SF,MIN,257,146,403,7-12,1-3,2,17,9,8,0-0,7.5,17/26,8.6,6.1,7-53,25:12
401671702,2024-09-15,NE,SEA,312,46,358,7-15,1-3,0,18,11,5,1-2,5.4,33/44,6.6,2.4,6-50,29:41
401671702,2024-09-15,SEA,NE,125,185,310,6-16,2-4,0,19,9,8,0-0,4.7,15/27,4.2,5.1,3-42,35:42
401671716,2024-09-15,WSH,NYG,175,129,304,4-8,3-3,1,18,11,5,1-2,6.0,16/28,6.0,5.9,5-20,22:28
401671716,2024-09-15,NYG,WSH,210,215,425,7-14,0-6,0,22,11,9,1-1,6.2,23/29,6.2,6.1,10-69,37:32
401671652,2024-09-15,CAR,LAC,130,219,349,9-16,1-2,2,21,8,10,0-0,5.4,14/20,6.2,5.0,3-15,36:18
401671652,2024-09-15,LAC,CAR,69,90,159,1-12,0-0,1,7,3,4,1-3,3.5,18/26,2.5,5.0,9-90,23:42
401671635,2024-09-15,JAX,CLE,172,125,297,2-14,1-1,0,17,7,7,3-3,4.6,22/34,4.8,4.3,13-100,34:23
401671635,2024-09-15,CLE,JAX,196,127,323,3-9,1-4,0,18,9,7,0-0,5.9,14/30,5.8,6.0,6-52,25:37
401671624,2024-09-15,BAL,LV,233,27,260,4-12,2-3,1,18,14,1,0-1,4.3,30/38,5.4,1.6,3-15,30:43
401671624,2024-09-15,LV,BAL,232,151,383,3-11,2-3,1,21,14,5,1-1,6.1,21/34,6.4,5.6,11-109,29:17
401671754,2024-09-15,ARI,LAR,192,53,245,2-11,1-3,1,14,9,4,1-3,4.7,19/27,6.0,2.7,2-10,23:06
401671754,2024-09-15,LAR,ARI,258,231,489,7-11,3-4,1,24,9,14,0-0,7.9,17/21,11.7,5.8,5-52,36:54
401671668,2024-09-15,DEN,PIT,110,141,251,4-13,1-2,0,16,7,4,0-0,4.3,13/20,5.0,3.9,10-78,32:19
401671668,2024-09-15,PIT,DEN,231,64,295,2-12,0-3,2,13,8,5,1-2,5.3,20/35,6.2,3.4,9-124,27:41
401671670,2024-09-15,KC,CIN,246,74,320,4-13,2-4,1,18,11,6,2-2,5.2,23/36,6.3,3.4,8-79,31:29
401671670,2024-09-15,CIN,KC,137,149,286,1-8,1-2,3,19,7,9,2-2,4.8,18/25,5.1,4.7,4-44,28:31
401671786,2024-09-16,HOU,CHI,134,71,205,6-17,1-1,2,15,7,3,1-2,3.1,23/37,3.0,3.2,9-60,31:13
401671786,2024-09-16,CHI,HOU,235,75,310,4-14,1-2,1,15,11,4,1-1,5.1,23/36,6.0,3.4,12-115,28:47
401671691,2024-09-17,PHI,ATL,233,152,385,2-9,1-3,0,22,11,9,1-2,6.6,20/29,7.8,5.4,3-40,24:21
401671691,2024-09-17,ATL,PHI,179,186,365,6-13,2-5,1,22,12,10,2-3,5.4,23/30,5.8,5.0,9-53,35:39
401671808,2024-09-20,NYJ,NE,61,78,139,2-11,0-1,1,11,6,3,3-3,2.9,16/26,1.8,5.2,5-70,19:56
401671808,2024-09-20,NE,NYJ,267,133,400,10-15,3-4,0,27,16,9,0-0,5.7,27/35,7.2,4.0,8-106,40:04
401671855,2024-09-22,CLE,NYG,228,112,340,4-14,3-4,2,21,13,7,1-1,4.9,24/35,6.2,3.5,9-68,33:56
401671855,2024-09-22,NYG,CLE,148,69,217,4-14,1-1,2,16,7,7,1-3,3.4,21/37,3.3,3.8,5-48,26:04
401671823,2024-09-22,TEN,GB,190,188,378,5-14,1-3,0,16,6,9,0-0,6.4,13/19,8.6,5.1,10-75,32:28
401671823,2024-09-22,GB,TEN,204,33,237,3-9,2-2,3,18,14,3,0-1,4.5,26/34,4.9,3.0,2-15,27:32
401671865,2024-09-22,IND,CHI,332,63,395,9-21,2-3,3,26,18,4,4-5,4.7,33/52,5.9,2.3,4-25,35:01
401671865,2024-09-22,CHI,IND,156,150,306,3-12,2-3,2,15,4,9,0-1,5.7,10/20,7.4,4.5,9-78,24:59
401671646,2024-09-22,MIN,HOU,258,38,296,4-14,1-2,2,17,16,0,2-4,4.7,28/44,5.3,2.7,11-88,30:42
401671646,2024-09-22,HOU,MIN,156,118,274,6-13,4-5,0,19,12,5,1-1,4.6,17/28,4.9,4.2,5-30,29:18
401671736,2024-09-22,NO,PHI,288,172,460,6-14,1-3,2,20,11,8,1-3,6.9,29/38,6.9,6.9,7-45,32:15
401671736,2024-09-22,PHI,NO,130,89,219,6-13,1-3,1,12,7,5,0-1,4.0,14/25,5.0,3.1,3-25,27:45
401671632,2024-09-22,PIT,LAC,105,61,166,3-11,0-1,0,10,7,3,0-0,3.7,14/20,4.2,3.1,7-69,26:09
401671632,2024-09-22,LAC,PIT,232,114,346,7-14,1-4,1,20,9,7,0-0,5.3,25/32,6.8,3.7,3-15,33:51
401671741,2024-09-22,TB,DEN,216,136,352,4-13,2-4,1,18,8,10,2-3,5.5,25/36,6.0,4.9,5-51,32:08
401671741,2024-09-22,DEN,TB,132,91,223,3-11,1-2,2,17,11,4,0-2,4.0,25/33,3.3,5.7,5-19,27:52
401671658,2024-09-22,LV,CAR,306,131,437,5-12,3-5,0,24,15,8,0-0,6.2,26/37,7.8,4.2,7-51,36:02
401671658,2024-09-22,CAR,LV,276,55,331,3-11,3-3,1,20,15,3,1-3,5.6,27/40,6.4,3.4,6-54,23:58
401671662,2024-09-22,SEA,MIA,140,65,205,1-12,0-2,0,13,8,2,0-3,3.7,20/32,3.7,3.6,11-85,28:32
401671662,2024-09-22,MIA,SEA,270,100,370,3-11,2-2,2,21,13,7,0-0,6.2,26/34,7.3,4.3,11-92,31:28
401671763,2024-09-22,DAL,BAL,182,274,456,4-9,3-3,0,24,8,16,0-0,7.6,12/15,12.1,6.1,13-105,34:45
401671763,2024-09-22,BAL,DAL,361,51,412,7-13,3-4,1,26,18,2,0-1,5.9,28/51,6.7,3.2,6-44,25:15
401671772,2024-09-22,LAR,SF,288,137,425,6-11,2-3,1,25,13,8,1-1,6.5,22/30,9.3,4.0,7-111,33:27
401671772,2024-09-22,SF,LAR,198,98,296,5-12,3-5,0,19,8,8,2-2,5.4,16/26,6.8,3.8,8-75,26:33
401671771,2024-09-22,ARI,DET,186,187,373,6-12,2-2,1,23,11,12,0-1,5.5,18/23,7.4,4.3,9-79,36:49
401671771,2024-09-22,DET,ARI,200,77,277,1-9,1-1,1,17,10,2,0-2,5.2,21/34,5.7,4.3,4-30,23:11
401671793,2024-09-23,ATL,KC,217,128,345,6-14,2-4,1,22,13,9,1-1,4.8,26/39,5.6,3.9,6-61,34:57
401671793,2024-09-23,KC,ATL,229,82,311,2-9,2-4,1,19,11,4,1-3,5.6,20/29,7.4,3.3,6-44,25:03
401671682,2024-09-23,BUF,JAX,147,92,239,2-13,1-4,2,19,10,7,4-8,3.5,26/46,2.9,5.4,7-45,28:20
401671682,2024-09-23,JAX,BUF,266,122,388,6-11,4-5,0,25,15,9,2-2,6.5,24/31,8.6,4.2,6-47,31:40
401671490,2024-09-24,CIN,WSH,248,108,356,5-9,3-3,0,22,13,8,3-3,6.2,21/23,9.9,3.4,3-28,33:06
401671490,2024-09-24,WSH,CIN,312,124,436,6-10,2-4,0,30,18,11,1-1,7.3,29/38,7.8,6.2,5-16,26:54
401671812,2024-09-27,NYG,DAL,213,80,293,3-10,1-1,0,14,9,5,1-1,5.7,22/27,7.6,3.5,11-89,24:23
401671812,2024-09-27,DAL,NYG,277,26,303,5-16,0-2,1,16,12,4,3-4,4.7,29/40,6.8,1.1,4-35,35:37
401671727,2024-09-29,ATL,NO,235,131,366,7-13,3-4,2,25,11,12,1-2,5.2,28/36,6.4,4.0,6-60,35:42
401671727,2024-09-29,NO,ATL,227,88,315,4-11,0-1,1,14,9,4,0-0,6.2,21/35,6.3,5.9,9-76,24:18
401671871,2024-09-29,CHI,LAR,203,119,322,5-11,1-4,2,21,11,8,0-0,5.6,20/29,6.3,4.6,6-44,31:02
401671871,2024-09-29,LAR,CHI,133,131,264,3-9,2-4,0,17,7,7,0-0,4.9,17/23,5.1,4.7,10-84,28:58
401671643,2024-09-29,GB,MIN,254,120,374,4-11,3-5,3,22,11,8,0-1,5.8,20/28,8.5,3.5,7-55,32:15
401671643,2024-09-29,MIN,GB,379,86,465,4-12,4-5,4,24,19,3,0-2,6.3,32/54,6.9,4.5,8-68,27:45
401671867,2024-09-29,IND,PIT,282,122,404,6-13,3-4,2,23,11,10,0-2,5.9,22/34,7.4,4.1,6-53,31:07
401671867,2024-09-29,PIT,IND,225,133,358,8-15,3-5,0,22,13,7,0-0,5.6,19/30,7.0,4.2,4-38,28:53
401671622,2024-09-29,NYJ,DEN,60,126,186,3-14,1-1,1,12,3,8,0-0,3.3,12/25,2.4,4.1,5-74,28:16
401671622,2024-09-29,DEN,NYJ,184,64,248,4-17,0-2,1,16,10,4,0-1,3.5,24/42,3.9,2.8,13-90,31:44
401671740,2024-09-29,TB,PHI,114,113,227,6-13,2-3,2,16,6,9,1-2,4.1,18/30,3.2,5.7,5-41,23:43
401671740,2024-09-29,PHI,TB,334,111,445,6-13,4-6,0,29,18,9,1-1,6.0,30/47,6.8,4.4,3-20,36:17
401671745,2024-09-29,CAR,CIN,232,141,373,7-13,3-3,1,24,14,6,0-0,6.0,22/31,7.5,4.5,5-39,28:58
401671745,2024-09-29,CIN,CAR,220,155,375,7-14,2-3,1,24,12,10,1-3,5.4,25/41,5.4,5.3,6-37,31:02
401671857,2024-09-29,HOU,JAX,155,158,313,4-12,2-3,0,17,11,5,0-1,5.4,18/33,4.6,6.6,6-44,26:43
401671857,2024-09-29,JAX,HOU,334,101,435,7-13,3-4,1,26,20,4,0-0,6.4,27/40,8.0,3.9,12-93,33:17
401671755,2024-09-29,ARI,WSH,233,216,449,9-12,4-5,1,29,14,13,1-1,6.7,26/30,7.8,5.8,5-49,33:22
401671755,2024-09-29,WSH,ARI,115,181,296,4-11,2-2,1,17,5,12,2-3,5.1,16/22,4.4,5.7,4-82,26:38
401671758,2024-09-29,SF,NE,143,73,216,5-16,1-2,3,12,8,2,1-3,3.5,19/32,3.8,3.0,3-20,28:25
401671758,2024-09-29,NE,SF,283,148,431,7-13,2-4,2,19,12,6,0-0,7.2,15/27,10.1,4.6,6-43,31:35
401671672,2024-09-29,LV,CLE,149,92,241,3-10,1-2,1,16,9,6,0-1,4.2,24/32,4.3,4.2,5-38,30:42
401671672,2024-09-29,CLE,LV,116,152,268,4-12,2-3,1,17,7,8,0-0,4.9,14/24,4.5,5.2,6-49,29:18
401671674,2024-09-29,LAC,KC,228,101,329,9-16,1-2,2,16,8,6,0-0,5.7,19/29,7.1,3.9,5-40,29:08
401671674,2024-09-29,KC,LAC,169,55,224,4-13,1-2,0,12,9,3,0-1,4.2,16/27,5.8,2.3,9-51,30:52
401671783,2024-09-30,BAL,BUF,155,81,236,3-13,1-2,1,12,6,5,1-1,4.1,17/31,4.6,3.5,4-38,28:57
401671783,2024-09-30,BUF,BAL,156,271,427,5-9,4-4,1,22,9,11,0-0,7.9,14/19,7.8,8.0,8-79,31:03
401671683,2024-09-30,MIA,TEN,102,142,244,2-12,2-3,1,16,5,8,1-1,3.9,12/21,4.6,3.6,8-69,34:52
401671683,2024-09-30,TEN,MIA,78,106,184,2-12,1-1,1,13,4,6,1-3,3.4,14/22,3.3,3.5,10-98,25:08
401671491,2024-10-01,DET,SEA,383,133,516,5-10,3-4,2,38,22,10,1-2,6.6,38/56,6.5,7.0,8-70,34:04
401671491,2024-10-01,SEA,DET,273,116,389,3-6,5-5,0,21,12,8,0-0,7.8,19/19,12.4,4.1,12-101,25:56
401671815,2024-10-04,ATL,TB,173,160,333,6-11,2-3,1,21,12,8,0-0,6.5,19/24,6.9,6.2,5-47,27:38
401671815,2024-10-04,TB,ATL,477,73,550,6-14,2-4,1,28,24,2,2-3,6.8,42/59,7.6,4.1,8-74,33:37
401671804,2024-10-06,MIN,NYJ,218,36,254,5-17,2-3,3,17,13,2,0-1,3.6,29/54,3.8,2.6,8-76,29:23
401671804,2024-10-06,NYJ,MIN,171,82,253,4-13,1-1,2,17,8,4,0-1,3.8,15/32,4.8,2.7,11-80,30:37
401671872,2024-10-06,CHI,CAR,172,120,292,3-12,0-2,3,14,9,4,1-3,5.0,22/35,4.4,6.3,4-18,26:12
401671872,2024-10-06,CAR,CHI,296,128,424,4-11,3-4,0,24,12,11,0-1,6.1,20/29,9.9,3.3,5-46,33:48
401671626,2024-10-06,CIN,BAL,345,175,520,10-15,5-6,1,30,18,11,1-1,6.8,26/42,8.0,5.1,5-21,33:45
401671626,2024-10-06,BAL,CIN,371,71,442,8-14,3-3,1,23,19,3,0-0,6.8,30/39,8.8,3.1,4-24,32:42
401671700,2024-10-06,NE,MIA,179,193,372,2-11,1-2,2,24,10,10,0-1,5.0,18/31,5.3,4.7,6-54,34:20
401671700,2024-10-06,MIA,NE,148,151,299,4-13,0-2,0,15,8,5,0-1,5.4,18/34,4.1,7.9,12-105,25:40
401671718,2024-10-06,WSH,CLE,108,104,212,1-13,1-2,1,12,7,4,2-3,3.6,16/29,3.0,4.5,9-52,28:42
401671718,2024-10-06,CLE,WSH,219,215,434,8-17,3-6,2,19,8,10,2-2,6.7,15/28,7.1,6.3,5-31,31:18
401671633,2024-10-06,JAX,IND,348,99,447,7-14,3-5,1,25,17,7,1-1,6.5,34/45,7.1,5.0,5-34,31:32
401671633,2024-10-06,IND,JAX,371,126,497,3-10,2-4,2,20,13,6,1-2,8.7,28/34,10.9,5.5,3-25,28:28
401671859,2024-10-06,HOU,BUF,126,150,276,3-14,1-3,0,16,5,9,1-1,4.7,9/30,4.1,5.4,4-25,26:50
401671859,2024-10-06,BUF,HOU,331,94,425,8-16,1-2,2,18,13,5,0-1,6.3,28/38,8.5,3.4,7-65,33:10
401671747,2024-10-06,DEN,LV,215,115,330,7-15,1-2,3,20,13,5,0-1,5.1,22/37,5.4,4.6,11-79,31:23
401671747,2024-10-06,LV,DEN,180,109,289,3-12,3-4,0,18,9,6,1-1,5.0,19/27,6.0,3.9,9-44,28:37
401671756,2024-10-06,SF,ARI,189,169,358,3-10,1-3,1,19,10,9,1-1,6.3,19/30,6.1,6.5,1-5,27:02
401671756,2024-10-06,ARI,SF,231,153,384,6-11,1-6,3,22,13,9,0-1,6.1,19/35,6.2,5.9,4-21,32:58
401671679,2024-10-06,LAR,GB,202,126,328,1-8,2-3,1,19,8,9,0-0,5.7,15/26,7.2,4.2,7-39,27:19
401671679,2024-10-06,GB,LAR,236,134,370,8-16,2-3,2,24,11,12,2-4,4.9,29/45,4.9,4.8,5-30,32:41
401671680,2024-10-06,SEA,NYG,245,175,420,7-16,1-4,1,24,14,8,0-1,5.9,23/34,6.6,5.1,2-20,37:22
401671680,2024-10-06,NYG,SEA,231,102,333,3-11,1-1,1,17,14,3,0-2,5.7,28/40,4.9,9.3,6-30,22:38
401671784,2024-10-07,PIT,DAL,336,109,445,9-15,1-4,3,25,14,9,1-1,5.9,29/42,7.6,3.5,11-87,32:29
401671784,2024-10-07,DAL,PIT,134,92,226,3-12,2-2,1,17,7,6,2-2,4.0,16/28,4.3,3.5,8-50,27:31
401671687,2024-10-08,KC,NO,174,46,220,4-10,1-1,1,14,11,1,0-2,4.3,20/35,4.8,3.1,5-70,20:04
401671687,2024-10-08,NO,KC,321,139,460,6-14,2-7,1,28,15,11,1-1,5.8,28/39,7.8,3.6,6-55,39:56
401671819,2024-10-11,SEA,SF,255,228,483,5-12,3-5,0,21,10,9,0-0,7.9,18/28,9.1,6.9,5-34,33:03
401671819,2024-10-11,SF,SEA,306,52,358,7-16,2-3,3,22,18,3,2-3,4.9,30/52,5.8,2.6,9-69,26:57
401671802,2024-10-13,CHI,JAX,210,68,278,7-15,2-3,2,17,14,3,2-2,4.6,24/36,5.3,3.4,8-43,29:20
401671802,2024-10-13,JAX,CHI,221,152,373,5-11,4-4,1,25,14,8,1-1,6.1,23/29,6.9,5.2,2-10,30:40
401671722,2024-10-13,GB,ARI,214,89,303,4-10,1-3,3,16,8,5,0-0,5.5,22/32,6.7,3.9,13-100,23:25
401671722,2024-10-13,ARI,GB,258,179,437,7-12,2-4,1,27,15,9,1-1,6.2,22/32,8.1,4.7,5-40,36:35
401671820,2024-10-13,TEN,IND,189,80,269,7-15,1-3,1,20,11,4,1-1,4.1,22/38,5.0,2.9,5-40,29:28
401671820,2024-10-13,IND,TEN,95,146,241,4-11,2-2,1,16,7,7,1-1,4.4,16/27,3.5,5.2,11-113,30:32
401671619,2024-10-13,NE,HOU,176,192,368,4-11,3-3,1,20,13,5,0-0,5.9,20/32,5.2,6.9,4-38,30:47
401671619,2024-10-13,HOU,NE,209,82,291,3-13,1-1,4,17,12,3,2-2,4.6,20/33,5.6,3.2,9-50,29:13
401671735,2024-10-13,NO,TB,317,277,594,6-10,4-5,3,31,15,13,0-0,8.2,24/36,8.6,7.9,12-86,34:02
401671735,2024-10-13,TB,NO,222,81,303,4-13,2-4,3,19,13,3,1-1,4.6,22/40,4.9,3.9,7-70,25:58
401671714,2024-10-13,PHI,CLE,144,100,244,3-12,0-1,0,14,7,6,1-1,4.6,16/23,5.1,4.0,7-55,31:27
401671714,2024-10-13,CLE,PHI,256,116,372,5-14,0-1,0,19,11,8,2-2,6.0,16/25,9.8,3.2,5-40,28:33
401671625,2024-10-13,BAL,WSH,253,52,305,4-12,2-3,0,18,16,1,1-1,5.4,24/35,6.7,2.9,6-46,23:52
401671625,2024-10-13,WSH,BAL,308,176,484,6-10,3-4,1,28,16,9,0-0,7.4,20/26,11.0,4.8,3-33,36:08
401671655,2024-10-13,DEN,LAC,222,128,350,11-18,1-3,0,22,10,10,0-0,4.7,21/34,6.0,3.4,3-20,37:23
401671655,2024-10-13,LAC,DEN,206,110,316,3-11,2-2,2,17,10,7,2-2,6.0,19/33,5.9,6.1,7-37,22:37
401671657,2024-10-13,LV,PIT,110,183,293,4-13,2-4,0,18,6,10,1-1,4.7,14/24,4.1,5.2,7-50,31:51
401671657,2024-10-13,PIT,LV,218,57,275,2-11,2-3,3,16,11,5,1-3,4.6,27/40,5.3,3.0,4-42,28:09
401671764,2024-10-13,DAL,DET,308,184,492,4-10,3-5,0,27,14,12,1-2,7.5,19/27,10.3,5.1,8-63,34:43
401671764,2024-10-13,DET,DAL,198,53,251,3-13,0-3,5,16,10,2,1-4,3.9,25/44,4.1,3.1,4-30,25:17
